Putative Entity,NHM Data Portal Link,Article DOI Link,Notes,_id,occurrenceID,catalogNumber,scientificName,typeStatus,locality,country,expedition,collectionCode,kingdom,phylum,class,order,family,genus,specificEpithet,higherClassification,lifeStage,sex,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries
NHMUK 1911.10.1.353,http://data.nhm.ac.uk/specimen/e52020e7-af7d-4c71-9547-af1bd3471c25,http://dx.doi.org/10.1371/journal.pone.0095296,two entries,1309383,e52020e7-af7d-4c71-9547-af1bd3471c25,1911.10.1.353,Scrupocellaria reptans,,Shetland,United Kingdom,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomata,,Scrupocellaria,reptans,Bryozoa; Gymnolaemata; Cheilostomata,,,,,
BMNH R.8303,http://data.nhm.ac.uk/specimen/5e597c7e-8056-4fa4-8e72-213bdb6a6464,http://dx.doi.org/10.1371/journal.pone.0088905,,2031808,5e597c7e-8056-4fa4-8e72-213bdb6a6464,PV R 8303,"Megalosaurus bucklandi Meyer, 1832",,,British Isles,,PAL,,,,,,Megalosaurus,bucklandi,,,,Jurassic,,
BMNH R3877,http://data.nhm.ac.uk/specimen/e63f54e7-e548-4118-a2d5-8519531acfdd,http://dx.doi.org/10.1371/journal.pone.0033170,PV R 3877,1508512,e63f54e7-e548-4118-a2d5-8519531acfdd,PV R 3877,"Istiodactylus latidens (Seeley, 1901)",,Tie Pits; Shepards Chine; Atherfield; Shepherd's Chine,British Isles,,PAL,Animalia,Chordata,Reptilia,Pterosauria,Istiodactylidae,Istiodactylus,latidens,Animalia; Chordata; Reptilia; Pterosauria; Istiodactylidae,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R3877,http://data.nhm.ac.uk/specimen/e63f54e7-e548-4118-a2d5-8519531acfdd,http://dx.doi.org/10.1371/journal.pone.0033170,,1508512,e63f54e7-e548-4118-a2d5-8519531acfdd,PV R 3877,"Istiodactylus latidens (Seeley, 1901)",,Tie Pits; Shepards Chine; Atherfield; Shepherd's Chine,British Isles,,PAL,Animalia,Chordata,Reptilia,Pterosauria,Istiodactylidae,Istiodactylus,latidens,Animalia; Chordata; Reptilia; Pterosauria; Istiodactylidae,,,Cretaceous,Early Cretaceous,Early Cretaceous
BMNH 2010.11.01.7,http://data.nhm.ac.uk/specimen/ce84cb47-944e-468a-887c-c3e603c8ae86,http://dx.doi.org/10.1371/journal.pone.0042049,,1040500,ce84cb47-944e-468a-887c-c3e603c8ae86,2010.11.01.7.SP1,Aplysina sp.,paratype,,,,ZOO,,Porifera,,Verongida,Aplysinidae,Aplysina,sp.,Porifera; Verongida; Aplysinidae,,,,,
BMNH 2012.8.23.3,http://data.nhm.ac.uk/specimen/6e8be646-486e-4193-ac46-e13e23c5daef,http://dx.doi.org/10.1371/journal.pone.0046421,,1594393,6e8be646-486e-4193-ac46-e13e23c5daef,2012.8.23.3,Gangesia agraensis,,,India,,ZOO,Animalia,Platyhelminthes,Cestoda,Proteocephalidea,,Gangesia,agraensis,Animalia; Platyhelminthes; Cestoda; Proteocephalidea,,,,,
BMNH M 85303,http://data.nhm.ac.uk/specimen/ee8f78d9-84f2-425c-b2e7-7e8ca013c39f,http://dx.doi.org/10.1371/journal.pone.0049054,,2379040,ee8f78d9-84f2-425c-b2e7-7e8ca013c39f,PV M 85303,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK R1111,http://data.nhm.ac.uk/specimen/e9c19692-2cbd-4a06-9b8d-c490d6787016,http://dx.doi.org/10.1371/journal.pone.0034094,,1373131,e9c19692-2cbd-4a06-9b8d-c490d6787016,PV OR 1111,Crocodilus sp.,,Baireuth,Germany,,PAL,Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodilus,,Animalia; Chordata; Reptilia; Crocodylia; Crocodylidae,,,Triassic,Middle Triassic,Middle Triassic
BMNHUK P.25180,http://data.nhm.ac.uk/specimen/eabadc44-1bf0-446d-bcf5-6fd4ab7a513c,http://dx.doi.org/10.1371/journal.pone.0039370,,1472682,eabadc44-1bf0-446d-bcf5-6fd4ab7a513c,PV P 25180,"Macrosemimimus lennieri (Sauvage, 1893)",Holotype; Holotype; Holotype,Manea Fen,United Kingdom,,PAL,Animalia,,Osteichthyes,Semionotiformes,Semionotidae,Macrosemimimus,lennieri,Animalia; Osteichthyes; Actinopteryii; Semionotiformes; Semionotidae,,,Jurassic,Late Jurassic,Late Jurassic
BMNH 1914.8.12.126–127,http://data.nhm.ac.uk/specimen/5eac4a4f-9ff0-41cc-b07d-33ddee4258db,http://dx.doi.org/10.1371/journal.pone.0037520,,1259552,5eac4a4f-9ff0-41cc-b07d-33ddee4258db,1914.8.12.126-127,Echinus margaritaceus,,,,,ZOO,,,,,,Echinus,margaritaceus,,,,,,
BMNH P3337,http://data.nhm.ac.uk/specimen/ded62524-3c12-4016-9faa-8b1d2aecdf67,http://dx.doi.org/10.1371/journal.pone.0049911,PV P 3337 Libys polypterus Munster 1842,1858636,ded62524-3c12-4016-9faa-8b1d2aecdf67,PV P 3337,"Libys polypterus (Münster, 1842)",,Kelheim,Germany,,PAL,Animalia,Chordata,Sarcopterygii,Coelacanthiformes,Latimeriidae,Libys,polypterus,Animalia; Chordata; Sarcopterygii; Coelacanthiformes; Latimeriidae,,,Jurassic,Late Jurassic,Late Jurassic
NHMUK 2020*[14551],http://data.nhm.ac.uk/specimen/eda69781-4bb0-4e80-a319-b15054930141,http://dx.doi.org/10.1371/journal.pone.0031838,,828173,eda69781-4bb0-4e80-a319-b15054930141,PV OR 2020 *,"Thalassiodracon hawkinsi (Owen, 1838)",Cited,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Thalassiodracon,hawkinsi,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria; Plesiosauroidea,,,Jurassic,Early Jurassic,Early Jurassic
NHMUK R3592,http://data.nhm.ac.uk/specimen/ee332884-ff2a-4113-b734-d589d9340c89,http://dx.doi.org/10.1371/journal.pone.0034094,,1908232,ee332884-ff2a-4113-b734-d589d9340c89,PV R 3592,"Erythrosuchus africanus Broom, 1905",,Wismaars Backen; Burghesdorp,South Africa,,PAL,Animalia,Chordata,Reptilia,,Erythrosuchidae,Erythrosuchus,africanus,Animalia; Chordata; Reptilia; Archosauromorpha; Archosauria; Erythrosuchidae,,,Triassic,,
NHMUK R3592,http://data.nhm.ac.uk/specimen/ee332884-ff2a-4113-b734-d589d9340c89,http://dx.doi.org/10.1371/journal.pone.0072753,,1908232,ee332884-ff2a-4113-b734-d589d9340c89,PV R 3592,"Erythrosuchus africanus Broom, 1905",,Wismaars Backen; Burghesdorp,South Africa,,PAL,Animalia,Chordata,Reptilia,,Erythrosuchidae,Erythrosuchus,africanus,Animalia; Chordata; Reptilia; Archosauromorpha; Archosauria; Erythrosuchidae,,,Triassic,,
NHMUK R3592,http://data.nhm.ac.uk/specimen/ee332884-ff2a-4113-b734-d589d9340c89,http://dx.doi.org/10.1371/journal.pone.0086864,,1908232,ee332884-ff2a-4113-b734-d589d9340c89,PV R 3592,"Erythrosuchus africanus Broom, 1905",,Wismaars Backen; Burghesdorp,South Africa,,PAL,Animalia,Chordata,Reptilia,,Erythrosuchidae,Erythrosuchus,africanus,Animalia; Chordata; Reptilia; Archosauromorpha; Archosauria; Erythrosuchidae,,,Triassic,,
NHMUK R3592,http://data.nhm.ac.uk/specimen/ee332884-ff2a-4113-b734-d589d9340c89,http://dx.doi.org/10.1371/journal.pone.0089165,,1908232,ee332884-ff2a-4113-b734-d589d9340c89,PV R 3592,"Erythrosuchus africanus Broom, 1905",,Wismaars Backen; Burghesdorp,South Africa,,PAL,Animalia,Chordata,Reptilia,,Erythrosuchidae,Erythrosuchus,africanus,Animalia; Chordata; Reptilia; Archosauromorpha; Archosauria; Erythrosuchidae,,,Triassic,,
NHMUK R3592,http://data.nhm.ac.uk/specimen/ee332884-ff2a-4113-b734-d589d9340c89,http://dx.doi.org/10.1371/journal.pone.0111388,,1908232,ee332884-ff2a-4113-b734-d589d9340c89,PV R 3592,"Erythrosuchus africanus Broom, 1905",,Wismaars Backen; Burghesdorp,South Africa,,PAL,Animalia,Chordata,Reptilia,,Erythrosuchidae,Erythrosuchus,africanus,Animalia; Chordata; Reptilia; Archosauromorpha; Archosauria; Erythrosuchidae,,,Triassic,,
BMNH M 85303,http://data.nhm.ac.uk/specimen/ee8f78d9-84f2-425c-b2e7-7e8ca013c39f,http://dx.doi.org/10.1371/journal.pone.0049054,,2379040,ee8f78d9-84f2-425c-b2e7-7e8ca013c39f,PV M 85303,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK 35434,http://data.nhm.ac.uk/specimen/efb581c3-1466-43e2-af17-a19f91dbe31d,http://dx.doi.org/10.1371/journal.pone.0062421,,1891226,efb581c3-1466-43e2-af17-a19f91dbe31d,PV OR 35434,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
BMNH 4207,http://data.nhm.ac.uk/specimen/2f027daf-78bc-4894-b992-da258c06d661,http://dx.doi.org/10.1371/journal.pone.0049911,PV OR 4207 Osmeroides lewesiensis Mantell 1822,1440054,2f027daf-78bc-4894-b992-da258c06d661,PV OR 4207,"Osmeroides lewesiensis (Mantell, 1822)",,Lewes,British Isles,,PAL,Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,Osmeroides,lewesiensis,Animalia; Chordata; Actinopterygii; Elopiformes; Elopidae,,,Cretaceous,,
BMNH 1945.9.26.101-104,http://data.nhm.ac.uk/specimen/1f049bfb-49b7-4ef2-8dc9-ee0db9391d3e,http://dx.doi.org/10.1371/journal.pone.0001960,figures,839685,1f049bfb-49b7-4ef2-8dc9-ee0db9391d3e,1945.9.26.101-104,"Asterope mariae Baird, 1850",types,Skye and Shetlands.,Scotland,,ZOO,,Arthropoda,Ostracoda,,Cylindroleberidae,Asterope,mariae,Arthropoda; Crustacea; Ostracoda; Cylindroleberidae,adult,,,,
BMNH.66.5456,http://data.nhm.ac.uk/specimen/f0adde71-7ffe-4906-9305-7a525b5e4261,http://dx.doi.org/10.1371/journal.pone.0061998,,2010983,f0adde71-7ffe-4906-9305-7a525b5e4261,1966.5456,Cloeotis percivali,,,Zambia,,ZOO,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Cloeotis,percivali,Animalia; Chordata; Vertebrata; Mammalia; Chiroptera; Rhinolophidae; Hipposiderinae,,male,,,
NHMUK 30253,http://data.nhm.ac.uk/specimen/f0b4b864-933e-4fbb-870b-6f5455a6008e,http://dx.doi.org/10.1371/journal.pone.0034094,,696200,f0b4b864-933e-4fbb-870b-6f5455a6008e,PV OR 30253,"Polyptychodon interruptus Owen, 1841",,Cambridge,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Polyptychodon,interruptus,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 30253_4,http://data.nhm.ac.uk/specimen/f0b4b864-933e-4fbb-870b-6f5455a6008e,http://dx.doi.org/10.1371/journal.pone.0062421,,696200,f0b4b864-933e-4fbb-870b-6f5455a6008e,PV OR 30253,"Polyptychodon interruptus Owen, 1841",,Cambridge,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Polyptychodon,interruptus,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 46381,http://data.nhm.ac.uk/specimen/f2c57c88-6dba-4c8a-8628-5f99f70820b2,http://dx.doi.org/10.1371/journal.pone.0034094,,2318802,f2c57c88-6dba-4c8a-8628-5f99f70820b2,PV OR 46381,"Ichthyosaurus campylodon Carter, 1846",,Warminster,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 46381,http://data.nhm.ac.uk/specimen/f2c57c88-6dba-4c8a-8628-5f99f70820b2,http://dx.doi.org/10.1371/journal.pone.0062421,,2318802,f2c57c88-6dba-4c8a-8628-5f99f70820b2,PV OR 46381,"Ichthyosaurus campylodon Carter, 1846",,Warminster,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
BMNH 1897.11.1.55,http://data.nhm.ac.uk/specimen/f3c42e7b-5601-471c-95e9-6c41975ee4a1,http://dx.doi.org/10.1371/journal.pone.0053712,,836346,f3c42e7b-5601-471c-95e9-6c41975ee4a1,1897.11.1.55,"Otus magicus albiventris (Sharpe, 1875)",,,,,ZOO,Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,magicus,Animalia; Chordata; Vertebrata; Aves; Strigiformes; Strigidae; Striginae,,,,,
BMNH M 8873,http://data.nhm.ac.uk/specimen/f5de5e4d-bf48-45ef-8d7b-5484f9aa78fd,http://dx.doi.org/10.1371/journal.pone.0049054,,171991,f5de5e4d-bf48-45ef-8d7b-5484f9aa78fd,PV M 8873,,,,,,PAL,,,,,,,,,,,,,
BMNH(E) 1239047,http://data.nhm.ac.uk/specimen/ff60cce0-acfb-4be7-b82d-beed0966d05e,http://dx.doi.org/10.1371/journal.pone.0121127,Chrysoperla carnea,356794,ff60cce0-acfb-4be7-b82d-beed0966d05e,BMNH(E)1239047,Chrysoperla carnea Stephens,,,,,BMNH(E),,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysoperla,carnea,Arthropoda; Insecta; Neuroptera; Chrysopidae,,,,,
BMNH P.32421,http://data.nhm.ac.uk/specimen/8f622f98-ad58-4322-af53-72709d3d5073,http://dx.doi.org/10.1371/journal.pone.0039370,PV OR 32421,2017415,8f622f98-ad58-4322-af53-72709d3d5073,PV OR 32421,"Lepidotus elvensis de Blainville, 1818",,,France,,PAL,Animalia,,Actinopterygii,,Semionotidae,Lepidotus,elvensis,Animalia; Actinopterygii; Semionotidae,,,Jurassic,Early Jurassic,Early Jurassic
NHMUK 36318,http://data.nhm.ac.uk/specimen/f74b81dc-791d-44f8-a182-829d0ebd9be2,http://dx.doi.org/10.1371/journal.pone.0062421,,2470981,f74b81dc-791d-44f8-a182-829d0ebd9be2,PV OR 36318,"Ichthyosaurus campylodon Carter, 1846",,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK 36318,http://data.nhm.ac.uk/specimen/f74b81dc-791d-44f8-a182-829d0ebd9be2,http://dx.doi.org/10.1371/journal.pone.0084709,,2470981,f74b81dc-791d-44f8-a182-829d0ebd9be2,PV OR 36318,"Ichthyosaurus campylodon Carter, 1846",,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK 49202,http://data.nhm.ac.uk/specimen/f7619b3c-8377-457a-88fb-0cdeb1653f5e,http://dx.doi.org/10.1371/journal.pone.0031838,,950182,f7619b3c-8377-457a-88fb-0cdeb1653f5e,PV OR 49202,"Plesiosaurus macrocephalus Owen, 1838",Holotype,Lyme Regis,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Plesiosaurus,macrocephalus,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria,,,Jurassic,Early Jurassic,Early Jurassic
NHMUK 47270,http://data.nhm.ac.uk/specimen/fc975ed8-7d49-42bd-8eef-f69ac9db296c,http://dx.doi.org/10.1371/journal.pone.0062421,,2364369,fc975ed8-7d49-42bd-8eef-f69ac9db296c,PV OR 47270,Ichthyosaurus sp.,,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK 47270,http://data.nhm.ac.uk/specimen/fc975ed8-7d49-42bd-8eef-f69ac9db296c,http://dx.doi.org/10.1371/journal.pone.0084709,,2364369,fc975ed8-7d49-42bd-8eef-f69ac9db296c,PV OR 47270,Ichthyosaurus sp.,,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK 1928.9.13.105,http://data.nhm.ac.uk/specimen/fd285cca-fcee-46f8-bd36-f23116724730,http://dx.doi.org/10.1371/journal.pone.0095296,two entries,901870,fd285cca-fcee-46f8-bd36-f23116724730,1928.9.13.105,"Scrupocellaria curvata Harmer, 1926",,,Singapore,Siboga Expedition,ZOO,Animalia,Bryozoa,Gymnolaemata,Cheilostomata,Candidae,Scrupocellaria,curvata,Animalia; Bryozoa; Gymnolaemata; Cheilostomata; Candidae,,,,,
BMNH M 85322,http://data.nhm.ac.uk/specimen/fd30af1d-9b7f-4834-8964-e1b244550c46,http://dx.doi.org/10.1371/journal.pone.0049054,,2673965,fd30af1d-9b7f-4834-8964-e1b244550c46,PV M 85322,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 1946.8.11.38,http://data.nhm.ac.uk/specimen/4fd56cd3-535b-46cf-bc63-0ab0d85d0c68,http://dx.doi.org/10.1371/journal.pone.0111895,In portal as diff species Diplodactylus conspicillatus,1541511,4fd56cd3-535b-46cf-bc63-0ab0d85d0c68,1946.8.11.38,Diplodactylus conspicillatus,Type,"Torrens Creek, 1560ft, North Queensland",Australia,,ZOO,,,,,Gekkonidae,Diplodactylus,conspicillatus,Gekkonidae,,Male,,,
NHMUK 24300,http://data.nhm.ac.uk/specimen/fde8aaed-15d2-4938-a289-f22ca2f87e71,http://dx.doi.org/10.1371/journal.pone.0062421,,1874655,fde8aaed-15d2-4938-a289-f22ca2f87e71,PV OR 24300,"Ichthyosaurus tenuirostris Conybeare, 1822",,Glastonbury,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,tenuirostris,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Jurassic,Early Jurassic,Early Jurassic
NHMUK 33242,http://data.nhm.ac.uk/specimen/fe0921d4-877e-4cea-a050-61d468c6831c,http://dx.doi.org/10.1371/journal.pone.0034094,,414037,fe0921d4-877e-4cea-a050-61d468c6831c,PV OR 33242,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Late Cretaceous,Late Cretaceous
NHMUK 1911.10.1.376,http://data.nhm.ac.uk/specimen/feb311aa-8aa1-4d6a-ad4a-d3d577ee71d5,http://dx.doi.org/10.1371/journal.pone.0095296,,2249093,feb311aa-8aa1-4d6a-ad4a-d3d577ee71d5,1911.10.1.376,Scrupocellaria scabra van Beneden,,,,,ZOO,,Bryozoa,,,,Scrupocellaria,scabra,Bryozoa,,,,,
BMNH(E) 1239047,http://data.nhm.ac.uk/specimen/ff60cce0-acfb-4be7-b82d-beed0966d05e,http://dx.doi.org/10.1371/journal.pone.0121127,,356794,ff60cce0-acfb-4be7-b82d-beed0966d05e,BMNH(E)1239047,Chrysoperla carnea Stephens,,,,,BMNH(E),,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysoperla,carnea,Arthropoda; Insecta; Neuroptera; Chrysopidae,,,,,
58.20697,,http://dx.doi.org/10.1371/journal.pone.0061998,,,,,,,,,,,,,,,,,,,,,,,
9069,,http://dx.doi.org/10.1371/journal.pone.0064203,,,,,,,,,,,,,,,,,,,,,,,
9089,,http://dx.doi.org/10.1371/journal.pone.0064203,,,,,,,,,,,,,,,,,,,,,,,
9091,,http://dx.doi.org/10.1371/journal.pone.0064203,,,,,,,,,,,,,,,,,,,,,,,
9103,,http://dx.doi.org/10.1371/journal.pone.0064203,,,,,,,,,,,,,,,,,,,,,,,
9106,,http://dx.doi.org/10.1371/journal.pone.0064203,,,,,,,,,,,,,,,,,,,,,,,
9109,,http://dx.doi.org/10.1371/journal.pone.0064203,,,,,,,,,,,,,,,,,,,,,,,
9113,,http://dx.doi.org/10.1371/journal.pone.0064203,,,,,,,,,,,,,,,,,,,,,,,
9118,,http://dx.doi.org/10.1371/journal.pone.0064203,,,,,,,,,,,,,,,,,,,,,,,
9122,,http://dx.doi.org/10.1371/journal.pone.0064203,,,,,,,,,,,,,,,,,,,,,,,
9140,,http://dx.doi.org/10.1371/journal.pone.0064203,,,,,,,,,,,,,,,,,,,,,,,
BMNH 12.2.1972,,http://dx.doi.org/10.1371/journal.pone.0046421,,,,,,,,,,,,,,,,,,,,,,,
BMNH 16.5.2.12,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 16.5.2.13,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 16.5.2.15,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 16.5.2.16,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 16.5.2.17,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1896.11.15.5,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1896.12.20.21,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1897.11.1.56,,http://dx.doi.org/10.1371/journal.pone.0053712,,,,,,,,,,,,,,,,,,,,,,,
BMNH 19.16.29,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 19.722.013,,http://dx.doi.org/10.1371/journal.pone.0079862,Pleurodema thaul probably 1972. rather than 19.72,,,,,,,,,,,,,,,,,,,,,,
BMNH 1903.6.30.23,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1903.9.2.29,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1908.8.11.2,,http://dx.doi.org/10.1371/journal.pone.0087928,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1926.2.16.7,,http://dx.doi.org/10.1371/journal.pone.0115679,1926.2.16.7-10 is Paracalanus crassirostris NOT this,,,,,,,,,,,,,,,,,,,,,,
BMNH 1927.8.10.1–2,,http://dx.doi.org/10.1371/journal.pone.0046421,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1927.8.10.3,,http://dx.doi.org/10.1371/journal.pone.0046421,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1930.5.8.59,,http://dx.doi.org/10.1371/journal.pone.0032450,is it this one? 5611382a-ad3b-487f-96b8-b1d6d929bdd3,,,,,,,,,,,,,,,,,,,,,,
BMNH 1946.9.2.29,,http://dx.doi.org/10.1371/journal.pone.0080563,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1946.9.2.30–33,,http://dx.doi.org/10.1371/journal.pone.0080563,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1964.12.15.256–280,,http://dx.doi.org/10.1371/journal.pone.0046421,,,,,,,,,,,,,,,,,,,,,,,
BMNH 1966.5.1.61–75,,http://dx.doi.org/10.1371/journal.pone.0037520,plenty of that species but not under that catalog number,,,,,,,,,,,,,,,,,,,,,,
BMNH 1982.5.13.27,,http://dx.doi.org/10.1371/journal.pone.0046421,,,,,,,,,,,,,,,,,,,,,,,
BMNH 20060118,,http://dx.doi.org/10.1371/journal.pone.0077457,typo? Some close ones for Bulla,,,,,,,,,,,,,,,,,,,,,,
BMNH 2007.720,,http://dx.doi.org/10.1371/journal.pone.0057756,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2008.715,,http://dx.doi.org/10.1371/journal.pone.0057756,"Wilkinson, not in portal",,,,,,,,,,,,,,,,,,,,,,
BMNH 2008.716,,http://dx.doi.org/10.1371/journal.pone.0057756,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2008.719,,http://dx.doi.org/10.1371/journal.pone.0057756,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2008.717,,http://dx.doi.org/10.1371/journal.pone.0057756,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2008.718,,http://dx.doi.org/10.1371/journal.pone.0057756,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2008.721,,http://dx.doi.org/10.1371/journal.pone.0057756,figure,,,,,,,,,,,,,,,,,,,,,,
BMNH 2008.722,,http://dx.doi.org/10.1371/journal.pone.0057756,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2015.1.25.1,,http://dx.doi.org/10.1371/journal.pone.0122553,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2015.1.25.10,,http://dx.doi.org/10.1371/journal.pone.0122553,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2015.1.25.11,,http://dx.doi.org/10.1371/journal.pone.0122553,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2015.1.25.12,,http://dx.doi.org/10.1371/journal.pone.0122553,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2015.1.25.13,,http://dx.doi.org/10.1371/journal.pone.0122553,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2015.1.25.2,,http://dx.doi.org/10.1371/journal.pone.0122553,,,,,,,,,,,,,,,,,,,,,,,
BMNH 2015.1.25.3,,http://dx.doi.org/10.1371/journal.pone.0122553,,,,,,,,,,,,,,,,,,,,,,,
